executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
15,28660,34,24,false,67,0.9211647297505988,0.9881137211235634,98,true,121,692,19,3.950170900333766,0.5857142812235181,116,lz4,91,57,false,40,44,426,185,2,true,false,false,false,org.apache.spark.serializer.KryoSerializer,64.988
15,26335,8,23,false,10,0.51849365234375,0.5,79,false,48,986,19,4.26416015625,0.75,4,lz4,64,32,true,81,106,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,64.638
14,27820,27,11,true,38,0.9254849241762052,0.9743089129677212,3,false,11,800,20,2.632276963567395,0.5759388363483925,128,lz4,72,117,false,52,95,178,222,5,true,true,false,true,org.apache.spark.serializer.JavaSerializer,65.803
13,26839,8,8,true,93,0.6,0.5,4,false,48,200,21,3.31103515625,0.75,4,lz4,64,29,true,113,50,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,69.205
14,27451,8,8,false,10,0.6,0.5,119,false,48,149,22,4.14990234375,0.75,4,lz4,64,26,true,15,70,293,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.444
15,25852,29,46,true,20,0.9094348433712054,0.9795424872215832,98,false,55,196,22,4.416277715331684,0.9622065931501268,74,lzf,67,128,true,31,70,155,74,8,false,false,false,false,org.apache.spark.serializer.KryoSerializer,65.153
15,25978,8,8,false,12,0.6,0.5,32,false,48,200,23,4.03515625,0.4189453125,10,lz4,64,81,true,48,64,50,457,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,64.546
15,27517,8,8,false,10,0.6,0.5,57,false,100,589,24,1.763671875,0.18017578125,4,lz4,64,32,true,55,21,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.354
16,30862,26,11,false,96,0.8381346091268195,0.7286938766521385,35,false,52,423,24,2.0656933346893993,0.25439092159914667,112,lz4,118,106,true,64,108,80,66,2,false,false,false,false,org.apache.spark.serializer.JavaSerializer,67.438
14,32084,8,8,false,45,0.6,0.5,32,false,48,562,25,3.8505859375,0.414306640625,123,lz4,64,32,true,109,9,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.797
12,30628,26,8,false,10,0.66864013671875,0.5,35,false,48,597,25,3.73486328125,0.6241455078125,4,lz4,64,32,true,10,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,68.898
15,31454,8,23,false,10,0.6,0.5,121,false,48,776,25,2.0751953125,0.551025390625,6,lz4,64,32,true,8,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.422
13,33847,9,34,false,85,0.9836674381767482,0.942114857229041,81,false,20,328,25,3.092741331865841,0.5897150148183062,116,lzf,99,93,true,101,39,127,209,4,true,true,false,true,org.apache.spark.serializer.JavaSerializer,74.92
16,31916,45,13,false,48,0.8944641702066587,0.7733206696525617,63,true,105,668,25,3.4112861682249536,0.6013986269293907,122,lzf,81,96,false,61,125,329,455,2,false,true,true,true,org.apache.spark.serializer.KryoSerializer,65.938
14,32368,8,25,false,10,0.6,0.87109375,32,false,48,796,26,1.65625,0.75,4,lz4,64,32,true,93,64,50,481,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,69.886
12,32469,8,8,false,10,0.6,0.5,32,false,48,429,26,1.65087890625,0.1998291015625,109,lz4,64,89,true,38,14,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,69.317
13,27276,23,10,false,54,0.9977943452158791,0.7991876524527733,82,true,117,906,26,3.1367563319706044,0.16837859555427104,109,lzf,97,10,true,111,85,332,491,5,false,true,false,false,org.apache.spark.serializer.JavaSerializer,69.672
16,26314,9,26,false,66,0.6885242595188275,0.604538068411264,101,false,82,706,94,1.5768308169184662,0.59690302452255,99,lz4,97,47,true,32,50,203,156,9,true,true,true,false,org.apache.spark.serializer.KryoSerializer,64.228
13,25600,8,22,false,10,0.6,0.9580078125,4,false,48,657,26,3.1953125,0.75,11,lz4,64,32,true,110,64,101,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,68.203
15,26201,39,23,false,25,0.6635433792075064,0.6798103728551335,117,true,36,629,27,2.2405085867111403,0.32647072216937767,10,lzf,90,34,false,80,100,291,481,9,true,false,false,false,org.apache.spark.serializer.JavaSerializer,65.227
14,30736,8,33,false,10,0.60906982421875,0.5,32,false,48,521,27,3.52392578125,0.75,4,lz4,64,32,true,99,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,68.17
14,30183,8,8,false,10,0.6,0.5,6,false,48,200,27,1.81884765625,0.75,4,lz4,85,32,false,42,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,66.081
15,28538,35,30,false,75,0.7843734117465329,0.7820190114393403,103,true,87,418,27,3.2086442754815834,0.6523667216055876,59,lz4,111,61,true,28,74,284,265,4,false,true,false,false,org.apache.spark.serializer.KryoSerializer,66.517
16,30175,32,18,true,53,0.7180222811629391,0.706474797201433,51,false,122,615,27,2.7608510678677076,0.13047760725405466,60,lz4,95,63,false,87,24,156,409,2,false,true,true,false,org.apache.spark.serializer.JavaSerializer,63.791
13,26189,8,8,false,10,0.6639404296875,0.5,32,false,116,350,28,1.8818359375,0.626708984375,4,lz4,64,32,true,76,8,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.598
16,32624,20,17,true,83,0.8922282329379175,0.9493585406395386,20,true,107,608,27,3.3896868715182,0.19795642543668263,51,lzf,102,54,false,95,93,161,260,9,false,true,true,false,org.apache.spark.serializer.JavaSerializer,68.173
14,25646,8,8,false,10,0.637664794921875,0.5,32,false,48,648,28,1.308837890625,0.54180908203125,83,lz4,64,49,true,76,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,65.005
9,35119,8,8,false,10,0.6,0.5,32,false,48,885,28,3.15771484375,0.6441650390625,4,lz4,64,32,true,73,64,321,120,3,true,true,false,false,org.apache.spark.serializer.JavaSerializer,89.531
14,31987,8,8,false,10,0.95916748046875,0.5,108,false,48,520,29,1.28759765625,0.75,4,lz4,64,24,true,76,4,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,96.334
15,26328,26,50,true,32,0.7282751118379917,0.9814029292698698,29,false,9,243,28,2.9821814913755356,0.9020116449168075,112,lz4,94,75,false,60,46,227,41,5,true,true,false,true,org.apache.spark.serializer.KryoSerializer,66.512
14,27500,45,11,true,52,0.6182598981178755,0.9056842254156092,54,false,34,145,28,1.6003554424395035,0.68825776050884,123,lz4,114,76,false,62,123,215,113,7,false,false,false,false,org.apache.spark.serializer.JavaSerializer,65.211
10,26132,29,30,true,78,0.861194509951453,0.9925472292733075,47,false,98,958,28,3.3931172710442863,0.6054057994985932,99,lz4,127,67,false,96,76,304,232,5,true,true,false,false,org.apache.spark.serializer.KryoSerializer,69.824
13,29087,9,12,false,100,0.9662504116129105,0.840950359854922,62,false,119,123,28,4.351712138054129,0.131693346825916,9,lz4,77,14,true,97,64,84,472,4,true,true,false,false,org.apache.spark.serializer.JavaSerializer,67.155
12,32064,41,49,true,87,0.9680772877772437,0.9385713794785306,65,false,120,347,28,1.4630736912958109,0.395777634541675,34,lzf,77,111,false,27,39,59,363,7,true,true,false,false,org.apache.spark.serializer.JavaSerializer,71.588
16,26740,18,47,true,67,0.626095147245654,0.8105744698312318,20,false,86,367,28,1.8188279622248964,0.6721740557984816,57,lz4,90,86,false,115,103,175,346,4,true,false,false,false,org.apache.spark.serializer.KryoSerializer,64.889
16,28706,31,50,false,39,0.6405016615141262,0.951136525000394,108,false,45,970,28,1.77300824957238,0.19422285692941188,40,lzf,103,62,true,43,67,323,479,2,true,false,false,false,org.apache.spark.serializer.JavaSerializer,65.336
14,30793,38,8,false,18,0.691162109375,0.5,112,false,48,200,29,4.259765625,0.75,4,lz4,64,32,true,57,64,488,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.895
11,27711,8,8,false,10,0.954681396484375,0.5,124,false,48,200,29,1.450439453125,0.75,4,lz4,64,84,true,115,19,50,63,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,69.229
13,29155,8,8,false,10,0.639892578125,0.5,66,false,48,661,29,1.572265625,0.75,4,lz4,64,32,true,40,18,50,120,3,true,true,false,false,org.apache.spark.serializer.JavaSerializer,68.114
13,29043,8,8,false,10,0.6,0.517730712890625,26,false,48,200,29,3.000244140625,0.72821044921875,8,lz4,64,32,true,26,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.895
13,26189,8,21,false,10,0.6,0.5,116,false,37,285,29,3.5068359375,0.75,4,lz4,64,32,true,14,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,68.683
11,28868,8,8,false,10,0.6,0.5,82,false,48,200,29,4.869873046875,0.18756103515625,4,lz4,118,32,false,35,64,366,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,73.056
14,32358,9,14,true,67,0.9334139819819347,0.8054003687769115,42,true,18,439,29,4.086624041307975,0.9009268944816445,17,lzf,127,49,false,107,121,222,248,4,false,false,true,true,org.apache.spark.serializer.KryoSerializer,68.613
11,27494,34,15,false,76,0.7616420410794125,0.853702188911212,14,false,57,590,29,1.4486848341439544,0.5355230934153992,33,lzf,109,97,false,67,89,422,159,10,true,false,false,true,org.apache.spark.serializer.KryoSerializer,73.907
12,33290,17,24,true,84,0.7994218752710862,0.9470271422783629,20,false,53,274,29,4.468517492077892,0.6577370485249693,109,lz4,68,104,false,51,113,137,362,4,false,true,false,false,org.apache.spark.serializer.KryoSerializer,75.975
15,33341,8,8,false,70,0.645050048828125,0.635833740234375,32,false,48,200,29,2.809814453125,0.75,4,lz4,64,32,true,12,127,256,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,74.717
12,28568,36,8,false,10,0.6,0.5,32,false,48,200,29,2.546630859375,0.04583740234375,4,lz4,64,32,true,83,64,189,280,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.994
11,30856,8,8,false,93,0.712890625,0.5,32,false,48,701,29,2.421875,0.75,4,lz4,64,116,true,71,107,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,72.755
12,29722,43,40,false,79,0.672598176813893,0.8567069003067576,38,false,47,141,29,4.022176792908242,0.3282084828868979,103,lzf,124,62,true,50,63,347,312,5,true,true,false,true,org.apache.spark.serializer.KryoSerializer,69.411
12,34722,17,32,true,39,0.9199938356606908,0.7660674790749504,80,false,66,809,29,3.206380340964801,0.8202154341476683,39,lzf,68,113,false,68,68,378,471,7,false,true,false,true,org.apache.spark.serializer.KryoSerializer,79.245
14,33794,8,8,false,10,0.6,0.5,43,false,101,200,29,3.6826171875,0.75,4,lz4,64,32,true,67,79,324,120,3,true,true,false,false,org.apache.spark.serializer.JavaSerializer,73.905
13,35015,42,32,true,47,0.8225818572223291,0.8294730170796338,99,true,78,976,29,2.177137472914179,0.3432868613367922,55,lzf,105,46,false,57,106,243,283,6,true,true,false,true,org.apache.spark.serializer.JavaSerializer,73.155
12,33621,44,10,true,62,0.7493514436266375,0.6554803229211817,116,true,20,181,29,4.905809850383822,0.11654033754692306,9,lzf,114,54,false,57,125,107,445,3,true,true,false,false,org.apache.spark.serializer.KryoSerializer,74.946
15,35416,43,40,true,12,0.8162652541218849,0.6045647978488854,33,true,81,672,24,4.116039001961882,0.5708773959394311,27,lzf,123,126,false,71,99,225,450,7,false,false,true,false,org.apache.spark.serializer.JavaSerializer,74.432
11,26564,36,24,true,47,0.736734591869938,0.7201924765434383,77,true,22,104,29,3.2211810364326516,0.18445711908879325,16,lzf,70,118,false,108,40,143,356,7,false,true,false,false,org.apache.spark.serializer.JavaSerializer,70.244
15,30461,37,14,true,12,0.6160107418760629,0.6090566537985816,94,false,35,224,29,2.9553569828917525,0.3267598429866744,106,lzf,115,64,false,73,46,52,240,9,true,true,false,false,org.apache.spark.serializer.KryoSerializer,64.715
13,25921,8,8,false,10,0.6,0.5,125,true,76,200,30,2.29931640625,0.75,4,lz4,64,32,true,25,100,50,186,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,68.152
12,25830,8,8,false,10,0.594573974609375,0.5,108,false,48,200,30,4.034423828125,0.69195556640625,4,lz4,64,125,true,95,64,50,100,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,68.911
12,27690,8,8,false,10,0.6,0.5,49,false,48,840,29,4.77783203125,0.1859130859375,4,lz4,64,32,true,65,64,339,120,3,true,true,false,false,org.apache.spark.serializer.JavaSerializer,69.33
13,31326,8,8,false,10,0.92169189453125,0.50592041015625,111,false,48,200,30,1.61083984375,0.5198974609375,4,lz4,64,32,true,88,64,248,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,70.595
12,29579,8,8,false,70,0.6,0.5,32,false,48,200,30,1.790283203125,0.00872802734375,4,lz4,64,85,true,26,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,71.224
15,28358,8,8,false,53,0.6,0.5,32,true,28,200,30,1.2783203125,0.75,4,lz4,64,32,true,119,64,93,382,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,65.314
12,26593,8,8,false,10,0.6,0.5,99,false,48,200,30,1.730712890625,0.79266357421875,4,lz4,64,66,true,20,109,464,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,68.893
13,31326,8,8,false,85,0.6,0.5,3,false,111,200,30,1.61083984375,0.75,4,lz4,64,67,true,88,57,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,68.085
16,27928,39,14,true,88,0.6254230691946541,0.9779911343037243,6,false,53,249,29,4.780444933953946,0.7964299230288326,101,lz4,81,116,false,60,56,323,398,7,false,false,true,true,org.apache.spark.serializer.JavaSerializer,63.864
14,26087,8,8,false,10,0.950897216796875,0.5,122,false,80,511,30,4.058349609375,0.75,4,lz4,68,32,true,25,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,65.505
14,33289,41,29,false,60,0.8174136171760582,0.6592842479856659,33,true,98,909,30,1.8984533696383448,0.6954553253105623,27,lzf,107,101,false,34,8,268,359,2,false,false,true,true,org.apache.spark.serializer.JavaSerializer,75.942
14,30966,8,8,false,10,0.65411376953125,0.5,32,false,34,200,30,2.50439453125,0.75,4,lz4,64,33,true,11,17,478,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,68.946
15,28869,8,8,false,10,0.94488525390625,0.5,99,false,48,200,30,2.89306640625,0.75,4,lz4,64,32,true,52,64,50,431,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,68.29
12,29579,37,8,false,10,0.6,0.5,86,false,48,200,30,1.790283203125,0.75,4,lz4,64,3,true,87,21,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,70.156
13,29111,8,8,false,10,0.6,0.5,32,false,70,200,30,3.424072265625,0.75,4,lz4,83,65,true,22,54,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.614
15,26131,8,8,false,10,0.698486328125,0.5,126,false,48,200,30,4.404296875,0.32275390625,4,lz4,64,32,true,11,25,50,490,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,65.127
13,31754,8,8,false,10,0.6,0.5,32,false,48,714,30,1.522705078125,0.75,4,lz4,64,57,false,74,35,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,69.503
14,30219,8,8,false,10,0.74005126953125,0.5,113,false,48,200,30,3.51513671875,0.75,4,lz4,64,75,true,33,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,65.341
15,27172,8,8,false,24,0.94989013671875,0.5,106,false,48,766,30,2.48486328125,0.75,4,lz4,64,32,true,90,12,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,64.85
13,31448,8,8,false,10,0.714874267578125,0.767059326171875,32,false,48,494,30,3.058349609375,0.75,4,lz4,64,62,true,71,64,448,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,70.304
12,33253,8,8,false,10,0.6,0.5,14,false,48,200,30,2.301025390625,0.75,70,lz4,64,32,true,35,40,50,157,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,74.267
13,25921,8,49,false,10,0.61273193359375,0.5,76,false,48,200,30,2.29931640625,0.1490478515625,4,lz4,64,32,true,101,45,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,69.866
12,31776,37,8,false,10,0.54644775390625,0.5,121,false,53,200,30,1.74755859375,0.3314208984375,4,lz4,64,32,true,113,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,68.377
12,31776,8,39,false,10,0.54644775390625,0.5,121,false,48,469,30,1.74755859375,0.3314208984375,4,lz4,64,32,true,113,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,72.011
14,26087,8,8,false,10,0.6,0.979522705078125,80,false,59,200,30,4.058349609375,0.75,4,lz4,64,32,true,15,20,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,65.859
12,29585,8,8,false,10,0.716094970703125,0.5,32,false,48,778,30,3.939208984375,0.07073974609375,4,lz4,64,94,false,93,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,69.498
11,27499,8,29,false,10,0.6,0.5,122,false,60,200,30,3.462890625,0.75,4,lz4,64,32,true,44,64,475,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,72.154
12,30003,8,8,false,10,0.6,0.5,119,true,48,377,30,2.24951171875,0.75,4,lz4,64,60,true,113,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,70.871
12,29868,8,8,false,10,0.6,0.5,32,false,41,200,30,4.56689453125,0.3731689453125,4,lz4,64,83,true,11,44,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,69.797
14,26435,8,8,false,10,0.6,0.5,111,true,48,200,30,2.263427734375,0.45062255859375,4,lz4,64,32,true,84,7,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,69.02
15,31141,8,8,false,64,0.6,0.5,115,false,48,200,30,1.5262451171875,0.75,4,lz4,64,61,true,78,16,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.748
15,33015,8,8,false,10,0.6,0.5,16,false,48,886,30,3.0218505859375,0.75,4,lz4,64,98,true,104,118,436,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,91.062
14,30219,8,8,false,10,0.6,0.5,87,false,62,894,30,3.51513671875,0.5867919921875,4,lz4,64,32,true,33,7,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,82.241
14,30219,8,8,false,10,0.6,0.5,32,true,48,894,30,3.51513671875,0.75,4,lz4,64,32,false,33,64,70,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.199
13,27617,8,8,false,10,0.6,0.5,67,false,48,200,30,4.6571044921875,0.75,126,lz4,97,32,true,106,9,455,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,70.847
15,31141,8,8,false,64,0.9493560791015625,0.5,32,false,48,200,30,1.5262451171875,0.75,4,lz4,64,61,true,78,16,267,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,109.622
12,27556,32,8,false,98,0.6,0.5,32,false,8,987,30,1.949462890625,0.75,4,lz4,64,32,true,29,32,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,78.702
14,30966,8,8,false,10,0.6,0.5,32,true,48,332,30,2.50439453125,0.2503662109375,4,lz4,64,32,true,11,17,478,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,134.335
15,26131,8,8,false,10,0.698486328125,0.5,126,false,48,200,30,4.404296875,0.32275390625,4,lz4,64,32,true,11,25,490,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,74.153
14,28969,8,8,false,10,0.7332305908203125,0.5,95,false,48,963,30,1.7039794921875,0.75,4,lz4,64,32,true,35,64,91,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,70.012
14,28702,8,8,false,10,0.6071929931640625,0.5,49,false,48,200,30,1.8875732421875,0.820281982421875,4,lz4,64,97,true,115,105,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,67.625
14,26435,8,8,false,88,0.6,0.5,2,false,48,200,30,2.263427734375,0.75,4,lz4,64,58,true,17,64,336,40,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,66.174
15,33073,8,8,false,10,0.507232666015625,0.5,78,false,48,623,30,1.383544921875,0.54742431640625,84,lz4,64,32,true,23,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,95.775
11,30479,8,8,false,88,0.7302398681640625,0.5,32,false,48,200,30,3.3201904296875,0.75,4,lz4,64,32,true,41,103,286,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,84.004
